run_name,timestamp,method,task,dr,early_cos_mean,early_cos_min,early_cos_delta,early_neg_cos_frac,early_align_mean,early_align_min,early_align_delta,final_acc,final_loss,final_f1
mrpc_hetero_fedgeo_v5b,2026-04-03_15-00-39,fedgeo,mrpc,,0.0520532221222917,-0.0628716573119163,-0.2945896759629249,0.6666666666666666,0.5248023569583893,0.4424287378787994,-0.2069527804851532,0.7352941176470589,0.5789965361941094,
mrpc_hetero_fedgeo_v5b_dr60,2026-04-03_22-44-39,fedgeo,mrpc,0.6,0.0778424263310929,-0.007594162132591,0.080188178922981,0.3333333333333333,0.5521332820256551,0.4933673739433288,0.057808518409729,0.7279411764705882,0.555086777490728,0.7917448405253283
mrpc_hetero_fedgeo_v5b_dr70,2026-04-03_22-47-32,fedgeo,mrpc,0.7,0.0429128732842703,-0.0046199611388146,-0.1165104187093675,0.3333333333333333,0.5258865356445312,0.4925225377082824,-0.0848572254180908,0.7352941176470589,0.5590583629467908,0.8111888111888111
mrpc_hetero_fedgeo_v5b_dr80,2026-04-03_22-50-27,fedgeo,mrpc,0.8,0.0480226750175158,-0.040565088391304,-0.246627926826477,0.6666666666666666,0.5237437585989634,0.4621415734291076,-0.172398567199707,0.7254901960784313,0.5551929771900177,0.8233438485804416
mrpc_hetero_fedgeo_v5b_dr90,2026-04-03_22-53-24,fedgeo,mrpc,0.9,0.0500286724418401,-0.0819834843277931,-0.3415935114026069,0.6666666666666666,0.5221809446811676,0.4289176166057586,-0.2363280951976776,0.7156862745098039,0.6059305621128456,0.7921146953405018
mrpc_hetero_fedgeo_v5b_dr90_1,2026-04-03_23-34-38,fedgeo,mrpc,0.9,0.0351332202553749,-0.0195508953183889,0.0399412177503109,0.3333333333333333,0.497890442609787,0.4510456025600433,0.0392989218235015,0.6838235294117647,0.6578306856693006,0.8122270742358079
mrpc_hetero_fedgeo_v5b_dr90_2,2026-04-03_23-36-05,fedgeo,mrpc,0.9,0.0699493306601652,-0.0002305408270331,-0.1967408557684393,0.3333333333333333,0.5305944283803304,0.4773356020450592,-0.121758371591568,0.4313725490196078,0.7985767126083374,0.3333333333333333
mrpc_hetero_fedgeo_v5b_dr90_3,2026-04-03_23-37-33,fedgeo,mrpc,0.9,0.0691203065216541,-0.0434115827083587,-0.2404803931713104,0.3333333333333333,0.5383225778738657,0.4572859704494476,-0.1681306660175323,0.6911764705882353,0.738976449358697,0.8157894736842105
mrpc_hetero_fedgeo_v5b_dr90_lr1e4,2026-04-07_13-55-36,fedgeo,mrpc,0.9,0.2564957787593205,0.2083577364683151,-0.0990270525217056,0.0,0.6644237438837687,0.6367664933204651,-0.0561855435371398,0.4436274509803921,0.7377195334901997,0.3881401617250674
mrpc_scale_fedavg_c20,2026-04-07_15-31-34,fedavg,mrpc,,0.1480606670180956,0.1183964386582374,0.0431930497288703,0.0,0.4813302357991536,0.4537815153598785,0.0408919155597686,0.6593137254901961,0.6358338372380126,0.7495495495495496
mrpc_scale_fedavg_c50,2026-04-07_15-33-55,fedavg,mrpc,,0.0268794728132585,0.0041512926109135,0.045713126193732,0.0,0.25240092476209,0.2095381915569305,0.0831597447395324,0.5906862745098039,0.6783911293628169,0.6484210526315789
mrpc_scale_fedgeo_v5b_c20,2026-04-07_15-32-45,fedgeo,mrpc,,0.1462261353929837,0.1183964386582374,0.0419476702809333,0.0,0.4796267251173655,0.4537815153598785,0.0398654043674469,0.6666666666666666,0.6327755790130765,0.7571428571428571
mrpc_scale_fedgeo_v5b_c50,2026-04-07_15-35-23,fedgeo,mrpc,,0.0264602832806607,0.0041512926109135,0.0458711679093539,0.0,0.2516088883082072,0.2095381915569305,0.0834423899650573,0.5882352941176471,0.6797332249435724,0.6455696202531646
sst2_hetero_fedavg,2026-04-01_19-17-43,fedavg,sst2,,0.1539963111281395,0.0716003999114036,-0.1176995262503624,0.0,0.6011897722880045,0.548169732093811,-0.0753254890441894,0.8428899082568807,0.4084596357932058,
sst2_hetero_fedavg_dr60,2026-04-03_22-26-03,fedavg,sst2,0.6,0.2654453801612059,0.0514024905860424,-0.1709336079657077,0.0,0.6603354811668396,0.5351935029029846,-0.1095760464668273,0.8474770642201835,0.3470772550261896,
sst2_hetero_fedavg_dr70,2026-04-03_22-29-17,fedavg,sst2,0.7,0.2363122204939524,0.1012598276138305,-0.0506895184516906,0.0,0.6467192570368449,0.5687183141708374,-0.0337303876876831,0.8348623853211009,0.3580923321392011,
