run_name,timestamp,method,task,dr,early_cos_mean,early_cos_min,early_cos_delta,early_neg_cos_frac,early_align_mean,early_align_min,early_align_delta,final_acc,final_loss,final_f1
mrpc_scale_fedgeo_v5b_c20,2026-04-07_15-32-45,fedgeo,mrpc,,0.14622613539298376,0.11839643865823746,0.04194767028093338,0.0,0.47962672511736554,0.45378151535987854,0.0398654043674469,0.6666666666666666,0.6327755790130765,0.7571428571428571
mrpc_scale_fedgeo_v5b_c50,2026-04-07_15-35-23,fedgeo,mrpc,,0.026460283280660708,0.004151292610913515,0.04587116790935397,0.0,0.2516088883082072,0.20953819155693054,0.08344238996505737,0.5882352941176471,0.6797332249435724,0.6455696202531646
qqp_hetero_fedavg,2026-04-03_15-36-32,fedavg,qqp,,0.09198369830846786,0.04527612030506134,0.11889073252677917,0.0,0.5617810090382894,0.5310929417610168,0.07591545581817627,0.805,0.40810148110985756,
qqp_hetero_fedgeo_v5b,2026-04-03_15-46-05,fedgeo,qqp,,0.09253504127264023,0.04527612030506134,0.12026876211166382,0.0,0.5621311465899149,0.5310929417610168,0.07680165767669678,0.805,0.408378568559885,
qqp_hetero_fedprox,2026-04-03_21-53-15,fedprox,qqp,,0.0322135736544927,-0.10516500473022461,-0.380652517080307,0.6666666666666666,0.5046038826306661,0.4065983295440674,-0.26610368490219116,0.4855,0.8287361307144165,0.5689149560117303
sst2_fedgeo_pilot,2026-04-01_19-02-45,fedgeo,sst2,,0.1859633351365725,0.06344043463468552,-0.34863732755184174,0.0,0.614636758963267,0.54410719871521,-0.20419424772262573,0.8761467889908257,0.2935210039514467,
sst2_hetero_fedavg,2026-04-01_19-17-43,fedavg,sst2,,0.1539963111281395,0.07160039991140366,-0.1176995262503624,0.0,0.6011897722880045,0.548169732093811,-0.07532548904418945,0.8428899082568807,0.4084596357932058,
sst2_hetero_fedavg_dr60,2026-04-03_22-26-03,fedavg,sst2,0.6,0.26544538016120595,0.051402490586042404,-0.17093360796570778,0.0,0.6603354811668396,0.5351935029029846,-0.10957604646682739,0.8474770642201835,0.3470772550261896,
sst2_hetero_fedavg_dr70,2026-04-03_22-29-17,fedavg,sst2,0.7,0.23631222049395242,0.10125982761383057,-0.050689518451690674,0.0,0.6467192570368449,0.5687183141708374,-0.033730387687683105,0.8348623853211009,0.3580923321392011,
sst2_hetero_fedavg_dr80,2026-04-03_22-32-49,fedavg,sst2,0.8,0.20281493912140527,0.09186231344938278,-0.12779270857572556,0.0,0.630666176478068,0.5633032321929932,-0.07899296283721924,0.8405963302752294,0.35496804456508485,
sst2_hetero_fedavg_dr90,2026-04-03_22-36-21,fedavg,sst2,0.9,0.15343243877092996,0.07693233340978622,-0.14388292282819748,0.0,0.6003517111142477,0.5522233843803406,-0.08358681201934814,0.8360091743119266,0.3594782597154652,
sst2_hetero_fedavg_seed_1,2026-04-02_15-10-21,fedavg,sst2,,0.10009712974230449,0.012933015823364258,-0.142550528049469,0.0,0.5674884716669718,0.5087673664093018,-0.09499669075012207,0.8256880733944955,0.47731472770555305,
sst2_hetero_fedavg_seed_2,2026-04-02_15-16-13,fedavg,sst2,,0.16020271927118301,0.06774633377790451,-0.13797380775213242,0.0,0.6044906973838806,0.5446038246154785,-0.08944857120513916,0.8520642201834863,0.3525986230906543,
sst2_hetero_fedavg_seed_3,2026-04-02_15-22-08,fedavg,sst2,,0.14390941833456358,0.041382353752851486,-0.13059160485863686,0.0,0.5945790410041809,0.5299538373947144,-0.08322286605834961,0.856651376146789,0.32807571270050256,
sst2_hetero_fedgeo,2026-04-01_19-21-57,fedgeo,sst2,,0.15181146810452142,0.10000527650117874,-0.08929464966058731,0.0,0.6004552245140076,0.5671746134757996,-0.05632060766220093,0.7935779816513762,0.529726412266903,
sst2_hetero_fedgeo_bounded,2026-04-02_14-28-44,fedgeo,sst2,,0.1531199390689532,0.07635875791311264,-0.11294116824865341,0.0,0.6007316907246908,0.5511932373046875,-0.07230198383331299,0.8245412844036697,0.4528300980909155,
sst2_hetero_fedgeo_diverse,2026-04-01_19-48-37,fedgeo,sst2,,0.15258188794056574,0.0793689712882042,-0.10993095487356186,0.0,0.600498616695404,0.5532693862915039,-0.07022583484649658,0.8119266055045872,0.47712241388310533,
sst2_hetero_fedgeo_diverse,2026-04-01_20-03-35,fedgeo,sst2,,0.15258188794056574,0.0793689712882042,-0.10993095487356186,0.0,0.600498616695404,0.5532693862915039,-0.07022583484649658,0.8119266055045872,0.47712241388310533,
sst2_hetero_fedgeo_eps_0.1,2026-04-02_14-48-40,fedgeo,sst2,,0.15354265520970026,0.07271932810544968,-0.11658059805631638,0.0,0.6009231607119242,0.5488442778587341,-0.07465094327926636,0.8360091743119266,0.4159781564232133,
